event_id,linked_event_group,record_type,stablecoin,issuer,event_family,document_family,document_type,event_type,report_period,report_date,publication_date,event_date,event_date_basis,coverage_start,coverage_end,scheduled_flag,ad_hoc_flag,stress_regime,source_url,source_file_path,source_origin,source_status,attestor_or_provider,assurance_basis,rqi_available,dii_available,pilot_rqi,pilot_dii,inclusion_status,event_study_ready,coding_confidence,manual_review_required,priority,rule_version,rule_status,notes
USDC_ASSURANCE_2022_02,USDC_ASSURANCE_2022_02,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-February,2022-02-28,2022-03-31,2022-03-31,publication_date,2022-02-28,2022-02-28,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_February.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,0,1,,0.5675,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_03,USDC_ASSURANCE_2022_03,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-March,2022-03-31,2022-04-29,2022-04-29,publication_date,2022-03-31,2022-03-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_March.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,0,1,,0.6275,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_04,USDC_ASSURANCE_2022_04,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-April,2022-04-30,2022-05-23,2022-05-23,publication_date,2022-04-30,2022-04-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_April.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,0,1,,0.6275,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_06,USDC_ASSURANCE_2022_06,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-June,2022-06-30,2022-07-28,2022-07-28,publication_date,2022-06-30,2022-06-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_June.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,0,1,,0.6275,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; rqi_missing
USDC_ASSURANCE_2022_07,USDC_ASSURANCE_2022_07,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-July,2022-07-31,2022-08-24,2022-08-24,publication_date,2022-07-31,2022-07-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_July.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,1,1,0.9164,0.8400,event_ready,1,medium,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,
USDC_ASSURANCE_2022_08,USDC_ASSURANCE_2022_08,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-August,2022-08-31,2022-09-23,2022-09-23,publication_date,2022-08-31,2022-08-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_August.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,1,1,0.9245,0.8400,event_ready,1,medium,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,
USDC_ASSURANCE_2022_09,USDC_ASSURANCE_2022_09,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-September,2022-09-30,2022-10-25,2022-10-25,publication_date,2022-09-30,2022-09-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_September.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,1,1,0.9209,0.8400,event_ready,1,medium,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,
USDC_ASSURANCE_2022_10,USDC_ASSURANCE_2022_10,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-October,2022-10-31,2022-11-22,2022-11-22,publication_date,2022-10-31,2022-10-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_October.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,1,1,0.9225,0.8400,event_ready,1,medium,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,
USDC_ASSURANCE_2022_11,USDC_ASSURANCE_2022_11,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-November,2022-11-30,2022-12-22,2022-12-22,publication_date,2022-11-30,2022-11-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_November.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,1,1,0.9103,0.8400,event_ready,1,medium,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,
USDC_ASSURANCE_2022_12,USDC_ASSURANCE_2022_12,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-December,2022-12-31,2023-01-25,2023-01-25,publication_date,2022-12-31,2022-12-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_December.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,1,1,0.9136,0.8400,event_ready,1,medium,no,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,
USDC_ASSURANCE_2023_01,USDC_ASSURANCE_2023_01,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-January,2023-01-31,2023-03-02,2023-03-02,publication_date,2023-01-31,2023-01-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_January.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9222,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_02,USDC_ASSURANCE_2023_02,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-February,2023-02-28,2023-03-30,2023-03-30,publication_date,2023-02-28,2023-02-28,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_February.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9147,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_03,USDC_ASSURANCE_2023_03,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-March,2023-03-31,2023-04-28,2023-04-28,publication_date,2023-03-31,2023-03-31,1,0,banking_stress,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_March.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9349,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_04,USDC_ASSURANCE_2023_04,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-April,2023-04-28,2023-05-30,2023-05-30,publication_date,2023-04-28,2023-04-28,1,0,banking_stress,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_April.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,0,1,,0.7800,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; auditor_name_not_text_visible; rqi_missing; components_exceed_total
USDC_ASSURANCE_2023_05,USDC_ASSURANCE_2023_05,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-May,2023-05-31,2023-06-30,2023-06-30,publication_date,2023-05-31,2023-05-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_May.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9359,0.6900,event_ready,1,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,asset_extraction_low; auditor_name_not_text_visible
USDC_ASSURANCE_2023_06,USDC_ASSURANCE_2023_06,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-June,2023-06-30,2023-07-28,2023-07-28,publication_date,2023-06-30,2023-06-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_June.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9416,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_07,USDC_ASSURANCE_2023_07,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-July,2023-07-31,2023-08-30,2023-08-30,publication_date,2023-07-31,2023-07-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_July.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9439,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_08,USDC_ASSURANCE_2023_08,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-August,2023-08-31,2023-09-29,2023-09-29,publication_date,2023-08-31,2023-08-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_August.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9453,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_09,USDC_ASSURANCE_2023_09,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-September,2023-09-29,2023-10-30,2023-10-30,publication_date,2023-09-29,2023-09-29,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_September.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9488,0.7800,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2023_11,USDC_ASSURANCE_2023_11,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-November,2023-11-30,2023-12-22,2023-12-22,publication_date,2023-11-30,2023-11-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_November.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9446,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2024_01,USDC_ASSURANCE_2024_01,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-January,2024-01-31,2024-02-29,2024-02-29,publication_date,2024-01-31,2024-01-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_January.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9410,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2024_07,USDC_ASSURANCE_2024_07,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-July,2024-07-31,2024-08-27,2024-08-27,publication_date,2024-07-31,2024-07-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_July.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9404,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2024_11,USDC_ASSURANCE_2024_11,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-November,2024-11-29,2024-12-20,2024-12-20,publication_date,2024-11-29,2024-11-29,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_November.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,1,0.9313,0.8400,event_ready,1,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,auditor_name_not_text_visible
USDC_ASSURANCE_2022_05,USDC_ASSURANCE_2022_05,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2022-May,,,,pending_publication_date,,,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_May.pdf,local_usdc_pdf_extraction,downloaded_extracted,Grant Thornton LLP,AICPA attestation standards,0,0,,,excluded_missing_publication_date,0,low,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_report_date; asset_extraction_low; rqi_missing
USDC_ASSURANCE_2023_10,USDC_ASSURANCE_2023_10,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-October,2023-10-31,,,pending_publication_date,2023-10-31,2023-10-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_October.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9492,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2023_12,USDC_ASSURANCE_2023_12,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2023-December,2023-12-29,,,pending_publication_date,2023-12-29,2023-12-29,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_December.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9422,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_02,USDC_ASSURANCE_2024_02,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-February,2024-02-29,,,pending_publication_date,2024-02-29,2024-02-29,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_February.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9381,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_03,USDC_ASSURANCE_2024_03,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-March,2024-03-29,,,pending_publication_date,2024-03-29,2024-03-29,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_March.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9365,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_04,USDC_ASSURANCE_2024_04,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-April,2024-04-30,,,pending_publication_date,2024-04-30,2024-04-30,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_April.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9420,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_05,USDC_ASSURANCE_2024_05,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-May,2024-05-31,,,pending_publication_date,2024-05-31,2024-05-31,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_May.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9401,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_06,USDC_ASSURANCE_2024_06,event,USDC,Circle,scheduled_monthly_assurance,monthly_assurance,independent_accountants_report,scheduled_assurance_publication,2024-June,2024-06-28,,,pending_publication_date,2024-06-28,2024-06-28,1,0,normal,see_historical_report_register_v1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_June.pdf,local_usdc_pdf_extraction,downloaded_extracted,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,1,0,0.9388,,excluded_missing_publication_date,0,medium,yes,P0,RQI_DII_v1.0,frozen_confirmed_by_researcher,no_publication_date; auditor_name_not_text_visible
