record_id,stablecoin,issuer,year,month,document_family,document_type,source_url,local_file_path,archive_status,report_date_extraction_status,publication_date_extraction_status,coding_priority,manual_review_required,notes
HRR011,USDC,Circle,2022,November,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20November.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_November.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR012,USDC,Circle,2022,December,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2022/2022%20USDC%20Circle%20Grant%20Thornton%20Report%20December.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2022_December.pdf,downloaded,pending,pending,P0,yes,Grant Thornton era; report-date and publication-date must be extracted from PDF text.
HRR013,USDC,Circle,2023,January,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023%20USDC_Circle%20Examination%20Report%20January%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_January.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR014,USDC,Circle,2023,February,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023%20USDC_Circle%20Examination%20Report%20February%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_February.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR015,USDC,Circle,2023,March,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20March%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_March.pdf,downloaded,pending,pending,P0,yes,SVB month; high-priority for stress-regime coding.
HRR016,USDC,Circle,2023,April,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20April%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_April.pdf,downloaded,pending,pending,P0,yes,Post-SVB month; high-priority for stress-regime recovery coding.
HRR017,USDC,Circle,2023,May,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20May%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_May.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR018,USDC,Circle,2023,June,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20June%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_June.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR019,USDC,Circle,2023,July,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20July%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_July.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR020,USDC,Circle,2023,August,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20August%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_August.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR021,USDC,Circle,2023,September,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20September%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_September.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR022,USDC,Circle,2023,October,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20October%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_October.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR023,USDC,Circle,2023,November,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Circle%20Examination%20Report%20November%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_November.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR024,USDC,Circle,2023,December,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2023/2023%20USDC_Examination%20Report%20December%202023.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_December.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR025,USDC,Circle,2024,January,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20January%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_January.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR026,USDC,Circle,2024,February,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20February%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_February.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR027,USDC,Circle,2024,March,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20March%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_March.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR028,USDC,Circle,2024,April,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20April%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_April.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR029,USDC,Circle,2024,May,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20May%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_May.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR030,USDC,Circle,2024,June,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20June%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_June.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR031,USDC,Circle,2024,July,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20July%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_July.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR032,USDC,Circle,2024,August,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20August%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_August.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR033,USDC,Circle,2024,September,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20September%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_September.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR034,USDC,Circle,2024,October,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20October%202024%20%283%29.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_October.pdf,downloaded,pending,pending,P0,yes,Source URL contains duplicate marker %283%29; keep as official page link and verify manually.
HRR035,USDC,Circle,2024,November,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20November%202024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_November.pdf,downloaded,pending,pending,P0,yes,Two report dates are usually included; extract both for event timing.
HRR036,USDC,Circle,2024,December,monthly_assurance,independent_accountants_report,https://6778953.fs1.hubspotusercontent-na1.net/hubfs/6778953/USDCAttestationReports/2024/2024%20USDC_Examination%20Report%20December%2024.pdf,midterm_stablecoin_implementation/01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_December.pdf,downloaded,pending,pending,P0,yes,Filename uses December 24 rather than December 2024; verify PDF title during extraction.
HRR037,USDP,Paxos,2024,June,monthly_holdings,issuer_self_report,https://paxos.com/wp-content/uploads/2024/07/USDP-Monthly-Stablecoin-Reporting-June-2024-USDP-Disclosure.pdf,,registered_not_downloaded,pilot_extracted,pending,P0,yes,Paxos official PDF found via search/open; current direct download redirects to www and returns 404 in shell so keep registered and verify manually.
HRR038,PYUSD,Paxos,2024,January,monthly_holdings,issuer_self_report,https://paxos.com/wp-content/uploads/2024/02/PYUSD-Monthly-Stablecoin-Reporting-January-2024-PYUSD-Disclosure-1.pdf,,registered_not_downloaded,pending,pending,P1,yes,Known Paxos PDF URL from search result and third-party references; direct shell download needs manual verification.
HRR039,PYUSD,Paxos,2024,February,monthly_holdings,issuer_self_report,https://paxos.com/wp-content/uploads/2024/03/PYUSD-Monthly-Stablecoin-Reporting-February-2024-PYUSD-Disclosure.pdf,,registered_not_downloaded,pending,pending,P1,yes,Known Paxos PDF URL from search result references; direct shell download needs manual verification.
HRR040,PYUSD,Paxos,2024,March,monthly_holdings,issuer_self_report,https://paxos.com/wp-content/uploads/2024/04/PYUSD-Monthly-Stablecoin-Reporting-March-2024-PYUSD-Disclosure.pdf,,registered_not_downloaded,pending,pending,P1,yes,Known Paxos PDF URL from search result references; direct shell download needs manual verification.
HRR041,PYUSD,Paxos,2024,November,monthly_holdings,issuer_self_report,https://paxos.com/wp-content/uploads/2024/12/PYUSD-Monthly-Stablecoin-Reporting-November-2024-PYUSD-Disclosure.pdf,,registered_not_downloaded,pilot_extracted,pending,P1,yes,Paxos PDF was visible in search result text; use as PYUSD extension sample after core USDC/USDP.
HRR042,BUSD,Paxos,2023,March,stablecoin_reporting,issuer_self_report,https://paxos.com/wp-content/uploads/2023/03/BUSD-Daily-Stablecoin-Reporting-as-of-3.9.2023.pdf,,registered_not_downloaded,pilot_extracted,pending,P0,yes,BUSD wind-down period; daily report as of 2023-03-09 found via search result.
HRR043,BUSD,Paxos,2023,April,stablecoin_reporting,issuer_self_report,https://paxos.com/wp-content/uploads/2023/04/BUSD-Daily-Stablecoin-Reporting-as-of-4.24.2023.pdf,,registered_not_downloaded,pilot_extracted,pending,P0,yes,BUSD wind-down period; daily report as of 2023-04-24 found via search result.

